,SMILES,Caco-2,CYP3A4,hERG,HOB,MN
0,Oc1ccc2O[C@H]([C@H](Sc2c1)C3CCCC3)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,0
1,Oc1ccc2O[C@H]([C@H](Sc2c1)C3CCCCCC3)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,0
2,Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
3,Oc1ccc2O[C@H]([C@@H](CC3CCCCC3)Sc2c1)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,0
4,Oc1ccc2O[C@H]([C@@H](Cc3ccccc3)Sc2c1)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,0
5,Oc1ccc2O[C@H]([C@H](Sc2c1)c3ccncc3)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
6,Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24Cc5ccc(OCCN6CCCCC6)cc5C4,0,1,1,0,1
7,Oc1ccc2O[C@H]([C@H](Sc2c1)c3occc3)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
8,Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24Cc5ccccc5C4,0,1,0,0,0
9,Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24C(=O)c5ccccc5C4=O,0,1,0,1,1
10,Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24C(=O)c5ccc(OCCN6CCCCC6)cc5C4=O,0,1,0,0,1
11,Oc1cccc(c1)C2=Cc3cc(O)ccc3C24Cc5ccccc5C4,1,1,0,0,0
12,CC(C)(C)[C@H]1Sc2cc(O)ccc2O[C@H]1c3ccc(OCCN4CCCCC4)cc3,1,1,1,0,0
13,Oc1ccc2O[C@H]([C@H](Sc2c1)C3CCCCC3)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,0
14,Oc1ccc2O[C@H]([C@H](Sc2c1)c3cccnc3)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
15,CC(C)C[C@H]1Sc2cc(O)ccc2O[C@H]1c3ccc(OCCN4CCCCC4)cc3,1,1,1,0,0
16,Oc1ccc(C[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCCCC5)cc4)cc1,0,1,1,0,1
17,CC(C)[C@H]1Sc2cc(O)ccc2O[C@H]1c3ccc(OCCN4CCCCC4)cc3,1,1,1,0,0
18,Oc1cccc(c1)C2=Cc3cc(O)ccc3C24C(=O)c5ccccc5C4=O,0,1,0,1,1
19,Oc1ccc2O[C@H]([C@H](Sc2c1)c3cccs3)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,0
20,Oc1ccc2O[C@H]([C@@H](CC3CCCC3)Sc2c1)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,0
